season,mean_q,sd_q
2004-05,0.19405158343302112,0.004356624144148578
2005-06,0.1610530040502394,6.610956843337525e-4
2006-07,0.13415515150739712,0.0038696187835590983
2007-08,0.2790300439733128,0.00535847307467913
2008-09,0.30648729909694933,1.227397735431716e-16
2009-10,0.2565832089940623,0.00550985142779716
2010-11,0.2790646815509776,0.00926558675397903
2011-12,0.18935115890007254,0.007986708745469476
2012-13,0.2739648948033327,0.0077747115408042565
2013-14,0.4827177065451761,0.002533193479134362
2014-15,0.38270039206403905,0.005215124108464173
2015-16,0.39863447457699774,0.015040598446047779
2016-17,0.39343444027587904,0.007035807525772749
2017-18,0.28475770148108337,0.006599165611567825
2018-19,0.1632121215021544,0.002055927967191474
2019-20,0.16506184959065232,0.006697305121586727
2020-21,0.14913396084871497,0.0034887081566654177
2021-22,0.1364097470061524,0.003067910318812322
2022-23,0.12166313047905945,0.005516371444628881
2023-24,0.07013821693069064,0.0020828691498327306
2024-25,0.14839800383589694,1.8129866073473578e-16
