season,gini_pr,top1_pr
2004-05,0.1642220617749923,0.050086772038637206
2005-06,0.13918938465909464,0.05016776512998641
2006-07,0.14498678221872557,0.05211066639333411
2007-08,0.1892768290355645,0.05007648920921517
2008-09,0.1872241590239741,0.05446466333329792
2009-10,0.17444093426187474,0.04804558678998015
2010-11,0.17424695589201017,0.04946725302208235
2011-12,0.1716566342323015,0.0516324164342671
2012-13,0.1673297146559958,0.0503610474745047
2013-14,0.18182764423522688,0.053008866325217015
2014-15,0.17956264723964044,0.05549676068317508
2015-16,0.16841446816508493,0.06244845847313673
2016-17,0.14019287478221637,0.05205022135468012
2017-18,0.1526628701170677,0.05125456438949031
2018-19,0.14919636395697894,0.047376886034772685
2019-20,0.191819482967576,0.04985022885241718
2020-21,0.1403480095666268,0.04927696898856885
2021-22,0.14167944623012402,0.04848561886936622
2022-23,0.11690190261970604,0.04556006698064687
2023-24,0.17567147777473552,0.048588223797468376
2024-25,0.1781732457782039,0.05491333786591305
