season,mean_similarity,avg_fg3a,avg_fg3p
2004-05,0.4021107872790571,15.751219512195123,0.35174227642276423
2005-06,0.40816180635409105,15.980894308943089,0.3549808943089431
2006-07,0.40494531132790107,16.939837398373985,0.35404552845528453
2007-08,0.1921760984663994,18.10731707317073,0.35750772357723576
2008-09,0.3128799137827285,18.12317073170732,0.3629321138211382
2009-10,0.25221436122794644,18.139024390243904,0.3511556910569106
2010-11,0.243895279878341,18.01341463414634,0.3536260162601626
2011-12,0.3379049097781084,18.38131313131313,0.34400858585858585
2012-13,0.2126391616863969,19.960935461206464,0.3553070259961859
2013-14,0.08572232313689954,21.534146341463416,0.3572264227642276
2014-15,0.09195292353866955,22.413414634146342,0.34775365853658535
2015-16,0.07904427188540952,24.08170731707317,0.35195934959349595
2016-17,0.071994314443912,27.00040650406504,0.35655934959349594
2017-18,0.24771238528832304,28.99959349593496,0.36100772357723576
2018-19,0.3646368962729616,32.00894308943089,0.35522357723577236
2019-20,0.4176709400940119,34.09806114746401,0.357232478018126
2020-21,0.4788033300855825,34.63981481481481,0.3653912037037037
2021-22,0.4616778579374421,35.176829268292686,0.3531109756097561
2022-23,0.447816761137457,34.21341463414634,0.35928252032520325
2023-24,0.551157747679339,35.103658536585364,0.36494430894308943
2024-25,0.538905946032254,37.582926829268295,0.3598930894308943
